0,Ahmed Abd El Raouf,Egypt,Hammer throw,2008,Norandrosterone,2 years
1,Inga Abitova,Russia,Long distance,2009,Biological passport anomalies,2 years
2,Folashade Abugan,Nigeria,Sprinting,2010,Testosterone prohormone,2 years
3,Ibrahim Mohamed Aden,Somalia,Middle distance,1999,Ephedrine,Public warning
4,Tosin Adeloye,Nigeria,Sprinting,20122015,Metenolone Exogenous steroids,2 years 8 years
5,Funke Adeoye,Nigeria,Hammer throw,2007,Ephedrine,Public warning
6,Alessandra Aguilar,Spain,Long distance,2011,"",3 months
7,Amina Aït Hammou,Morocco,Middle distance,2008,3 whereabouts failures,1 year
8,Seltana Aït Hammou,Morocco,Middle distance,2008,3 whereabouts failures,1 year
9,Chioma Ajunwa,Nigeria,"Long jump, sprinting",1992,"",4 years
10,Esther Akinsulie,Canada,Sprinting,2013,Hydrochlorothiazide,6 months
11,Ashwini Akkunji,India,Sprinting,2011,Anabolic steroids,2 years
12,Mary Akor Basley,United States,Marathon,2012,Clenbuterol,2 years
13,Mikko Ala-Leppilampi,Finland,Long distance,1972,Self admittance of blood transfusions (not illegal at the time),—
14,Mariem Alaoui Selsouli,Morocco,Middle distance,2009 2012,EPOFurosemide,2 years 8 years
15,Sultan Al-Dawoodi,Saudi Arabia,Discus throw,2009,Norandrosterone,2 years
16,Denis Alekseyev,Russia,Sprinting,2013,Dehydrochloromethyltestosterone,2 years
17,Barakat Al-Harthi,Oman,Sprinting,2011,Methylprednisolone,6 months
18,Ghfran Almouhamad,Syria,Hurdling,2012,Methylhexaneamine,6 months
19,Anna Alminova,Russia,Middle distance,2010 2009,Pseudoephedrine Biological passport anomalies,3 months 30 months
20,Anthony Alozie,Australia,Sprinting,2013,Three Whereabouts Failures,20 months
21,Aslı Çakır Alptekin,Turkey,Middle distance/steeplechase,2004 2010,Metenolone Biological passport,2 years 8 years
22,Chinaza Amadi,Niger,Long jump,2015,Metenolone,4 years
23,Gloria Amuche Nwosu,Nigeria,Sprinting,2005,Testosterone,2 years
24,Anis Ananenka,Belarus,Middle distance,2015,GW1516,4 years
25,Andreas Anastasopoulos,Greece,Shot put,2001,"",2 years
26,Georg Andersen,Norway,Shot put,1991,Metenolone,21 months
27,Marvin Anderson,Jamaica,Sprinting,2009,4-Methyl-2-hexanamine,3 months
28,Lyudmila Andonova,Bulgaria,High jump,1985,Amphetamine,18 months
29,Yeorgios Andreou,Cyprus,Decathlon,2003,"",2 years
30,Vladimir Andreyev,Russia,Race walking,2005,Salbutamol,1 year
31,Yuriy Andronov,Russia,Race walking,2014,Trimetazidine,2 years
32,Ivanildo dos Anjos,Brazil,Long distance,2014,Hydrochlorothiazide,18 months
33,Adrián Annus,Hungary,Hammer throw,2004,"Missed test, tampering",2 years
34,Seema Antil,India,Discus throw,2000,Pseudoephedrine,Public warning
35,Elena Antoci,Romania,Middle distance,2008,EPO,""
36,Olena Antonova,Ukraine,Discus throw,2009 (Retested 2013),Stanozolol,2 years
37,Esref Apak,Turkey,Hammer throw,2013,Stanozolol,2 years
38,Thozama April,South Africa,Long distance,2014,"Phentermine, Prednisolone, Norandrosterone",2 years
39,Demetra Arachoviti,Greece,Hurdling,2012,Stanozolol,2 years
40,Geisa Arcanjo,Brazil,Shot put,2010,Hydrochlorothiazide,Public warning
41,Juana Arrendel,Dominican Republic,High jump,1999,Stanozolol,""
42,Katsiaryna Artsiukh,Kazakhstan,Hurdling,2010,Metenolone,2 years
